l.p.: 6
N = 12
b:
  417	  -47	  632	  464	   97	  711	  345	 -736	 -109	  598	 -726	  945	
A:
	  697	  533	  958	 -479	 -558	 -420	  -48	  -54	 -485	  207	  782	  379
	  118	 -607	  764	 -573	 -295	  626	  -98	  -54	 -723	  618	 -224	   48
	 -638	  879	  932	  506	 -184	  960	  -53	 -719	  515	  528	  309	  505
	 -106	  989	  294	 -957	 -409	  -87	 -947	 -731	 -245	   99	  949	 -975
	 -312	 -855	 -393	 -987	  281	  371	  613	  185	 -677	  200	 -350	 -209
	 -567	  -83	 -684	 -895	  463	 -370	 -888	  104	  480	  889	  102	  320
	  -39	 -731	 -386	  453	  268	  396	  197	  610	 -562	 -572	  492	  946
	  128	  651	  307	 -625	 -512	  352	   58	  347	 -972	  455	  918	   43
	 -987	  875	  459	 -165	 -979	  929	  767	  263	 -421	 -894	 -110	  678
	 -332	 -336	 -488	  134	  147	 -123	  726	  748	  369	 -583	 -550	  291
	 -699	  414	  603	  666	 -795	 -666	  888	  939	  937	 -922	 -309	   31
	  621	  925	 -546	  750	 -669	  632	 -760	  623	 -686	   12	  751	  170
